Name,Team(s),Matches,Runs,Bat Avg,Wickets,Bowl Avg,Role
V R Aaron,"DDV, RCB, KXI, RRO, GTI",52,50,10.0,44,33.66,Bowler
K J Abbott,KXI,5,13,13.0,2,88.5,Bowler
S A Abbott,"RCB, SUN",3,22,7.33,1,104.0,Bowler
Abdul Samad,SUN,34,395,19.75,2,56.5,Batsman
Y A Abdulla,KXI,11,0,,15,20.47,Batsman
Abdur Razzak,RCB,1,0,,0,,Batsman
Abhishek Sharma,"DDV, SUN",47,893,22.9,9,37.56,Batsman
L Ablish,KXI,3,0,,3,25.0,Batsman
A B Agarkar,"KKR, DDV",42,179,17.9,29,39.69,Bowler
M A Agarwal,"RCB, DDV, RPS, KXI, SUN",123,2597,22.98,0,,Batsman
S Agarwal,GUJ,1,0,,1,42.0,Batsman
A N  Ahmed,"MIN, RCB",17,36,36.0,12,40.75,All Rounder
K K Ahmed,"SUN, DDV",43,1,0.2,57,24.6,Bowler
Akash Deep,RCB,7,17,8.5,6,44.0,Bowler
Akash Singh,"RRO, CSK",7,0,,5,45.4,Batsman
B  Akhil,"RCB, KTK",15,76,12.67,6,40.33,Bowler
M M Ali,"RCB, CSK",59,1034,22.48,33,24.91,Bowler
F A Allen,"KXI, MIN",5,14,7.0,2,68.0,Bowler
Aman Hakim Khan,"KKR, DDV",12,115,12.78,0,,Bowler
P Amarnath,CSK,6,0,,7,33.71,Batsman
H M Amla,KXI,16,577,44.38,0,,Batsman
Anand Rajan,"DCH, SUN",9,15,15.0,9,25.44,Batsman
C J Anderson,"MIN, DDV, RCB",30,538,24.45,11,47.09,Bowler
Anirudh Singh,DCH,5,63,15.75,0,,Batsman
S  Anirudha,"CSK, SUN",20,136,17.0,0,,Batsman
Ankit Sharma,"DCH, SUN, RRO, RPS",21,72,12.0,11,38.36,Bowler
Ankit Soni,GUJ,7,7,3.5,2,58.5,Bowler
Anmolpreet Singh,"MIN, SUN",7,134,19.14,0,,Batsman
Anuj Rawat,"RRO, RCB",19,220,18.33,0,,Batsman
Anureet Singh,"KKR, KXI, RRO",23,36,9.0,18,34.61,Bowler
K P  Appanna,RCB,14,2,2.0,9,31.78,Bowler
S Aravind,RCB,38,59,14.75,45,23.09,Bowler
J C Archer,"RRO, MIN",40,199,15.31,48,24.4,Bowler
V G Arora,"KXI, KKR",10,8,4.0,8,38.75,Bowler
Arshdeep Singh,KXI,51,25,6.25,57,27.14,Bowler
K B A Arun Karthik,"CSK, RCB",17,51,10.2,0,,Bowler
J  Arunkumar,RCB,3,23,7.67,0,,Bowler
A Ashish Reddy,"DCH, SUN",31,280,18.67,18,22.0,Bowler
M Ashwin,"RPS, RCB, KXI, MIN, RRO",44,35,3.89,35,33.2,Bowler
R Ashwin,"CSK, RPS, KXI, DDV, RRO",197,714,13.22,171,28.67,Bowler
K M Asif,"CSK, RRO",7,0,0.0,7,33.0,Bowler
S A  Asnodkar,RRO,20,423,21.15,0,,Batsman
Avesh Khan,"RCB, DDV, LSG",47,31,15.5,55,26.33,Bowler
P Awana,KXI,33,5,2.5,39,26.38,Bowler
Azhar Mahmood,"KXI, KKR",23,388,20.42,29,24.14,Bowler
A Badoni,LSG,28,399,22.17,2,5.5,Batsman
S Badree,"RRO, CSK, RCB",12,13,2.6,11,29.0,Bowler
S Badrinath,CSK,95,1441,30.66,0,,Batsman
G J Bailey,"CSK, KXI, RPS",40,663,24.56,0,,Batsman
J M Bairstow,"SUN, KXI",39,1291,35.86,0,,Batsman
L Balaji,"CSK, KKR, KXI",73,36,4.5,76,26.68,Bowler
S B Bangar,"DCH, KKR",12,49,7.0,4,54.75,Bowler
T Banton,KKR,2,18,9.0,0,,Bowler
A B Barath,KXI,3,42,21.0,0,,Batsman
T Baroka,GUJ,1,0,,0,,Batsman
Basil Thampi,"GUJ, SUN, MIN",25,32,32.0,22,38.45,All Rounder
P A Basith,RRO,1,1,,0,,Batsman
R A Bawa,KXI,2,11,5.5,0,,Bowler
A R Bawne,DDV,1,12,,0,,Batsman
F Behardien,KXI,3,14,7.0,0,,Bowler
J P Behrendorff,MIN,17,6,,19,29.05,Batsman
K S Bharat,"RCB, DDV, GTI",10,199,28.43,0,,Batsman
R Bhatia,"DDV, KKR, RRO, RPS",95,342,11.4,71,28.46,Bowler
R R  Bhatkal,RCB,1,0,0.0,0,,Bowler
B A  Bhatt,KXI,17,6,6.0,12,33.08,Bowler
R K Bhui,SUN,2,7,3.5,0,,Bowler
A A  Bilakhia,DCH,7,69,13.8,0,,Bowler
S W Billings,"DDV, CSK, KKR",30,503,19.35,0,,Batsman
S T R Binny,"MIN, RRO, RCB",95,880,19.13,22,34.45,Bowler
Bipul Sharma,"KXI, SUN",33,187,23.38,17,33.65,Bowler
U A  Birla,PWI,2,7,7.0,0,,Bowler
T R Birt,DDV,5,75,15.0,0,,Batsman
R  Bishnoi,RCB,3,19,6.33,0,,Bowler
M S  Bisla,"KXI, KKR, RCB",39,798,21.0,0,,Batsman
A C  Blizzard,MIN,7,120,17.14,0,,Batsman
S M Boland,RPS,2,0,,2,27.0,Batsman
D E Bollinger,CSK,27,21,21.0,37,18.73,Bowler
S E Bond,KKR,8,1,1.0,9,24.89,Bowler
R S Bopara,"KXI, SUN",24,531,29.5,11,26.55,All Rounder
R R  Bose,KXI,1,0,,0,,Batsman
